"Table 1.1.5. Gross Domestic Product"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: May 26, 2017 - Next Release Date June 29, 2017"
"Line"," ","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"11","            Equipment",5.5,4.2,2.6,1.5,1.4,2.1,2.8,3.9,4.8,3.4,3.9,5.2,6.4,4.1,3.7,5.0,7.3,9.9,15.3,17.3,15.7,17.8,19.9,19.7,21.5,20.8,23.9,26.3,28.6,24.9,28.3,29.7,28.9,32.1,34.4,38.7,45.8,53.0,53.7,58.5,65.2,66.4,69.1,78.9,95.1,104.3,107.6,121.2,148.7,180.6,208.1,216.4,240.9,234.9,246.5,291.9,307.9,317.7,320.9,346.8,372.2,371.9,360.8,381.7,425.1,476.4,528.1,565.3,610.9,660.0,713.6,766.1,711.5,659.6,669.0,719.2,790.7,856.1,885.8,825.1,644.3,731.8,838.2,937.9,982.8,1040.7,1086.1,1057.0
"12","            Intellectual property products",0.6,0.6,0.5,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.8,1.1,1.2,1.1,1.2,1.4,1.8,2.0,2.1,2.0,2.3,2.4,3.0,3.7,3.9,4.3,5.2,5.6,6.0,6.6,7.1,8.0,8.4,9.2,9.8,11.1,12.8,14.0,15.6,17.2,17.9,18.7,20.6,22.7,25.5,27.8,32.2,35.8,40.4,48.1,54.4,64.8,72.7,81.3,95.1,105.3,113.5,120.1,132.7,150.1,164.4,179.1,187.7,196.9,205.7,226.8,253.3,288.0,317.7,364.0,409.5,412.6,406.4,420.9,442.1,475.1,504.6,537.9,563.4,550.9,564.3,592.2,621.7,647.9,679.6,717.9,758.0
"13","        Residential",4.1,2.5,1.9,0.9,0.7,1.0,1.4,1.8,2.2,2.2,3.2,3.6,4.2,2.4,1.6,1.5,1.8,8.0,12.2,15.8,14.8,20.7,18.7,18.9,19.7,21.4,25.4,24.0,22.6,22.8,28.6,26.9,27.0,29.6,32.9,35.1,35.2,33.4,33.6,40.2,44.4,43.4,58.2,72.4,78.3,69.5,66.7,86.8,115.2,138.0,147.8,129.5,128.5,110.8,161.1,190.4,200.1,234.8,249.8,256.2,256.0,239.7,221.2,254.7,286.8,323.8,324.1,358.1,375.6,418.8,461.8,485.4,513.0,557.6,636.9,749.7,856.1,837.4,688.7,515.9,392.2,381.1,386.0,442.2,519.5,570.1,651.9,706.1
"14","    Change in private inventories",1.5,-0.2,-1.1,-2.4,-1.4,-0.6,1.1,1.2,2.6,-0.6,0.2,2.4,4.3,1.9,-0.7,-0.9,-1.5,6.0,-0.6,5.7,-2.7,5.8,9.9,3.5,1.9,-1.9,5.0,4.0,0.8,-0.4,3.9,3.2,3.0,6.1,5.6,4.8,9.2,13.6,9.9,9.1,9.2,2.0,8.3,9.1,15.9,14.0,-6.3,17.1,22.3,25.8,18.0,-6.3,29.8,-14.9,-5.8,65.4,21.8,6.6,27.1,18.5,27.7,14.5,-0.4,16.3,20.8,63.8,31.2,30.8,70.9,63.7,60.8,54.5,-38.3,18.5,19.3,63.9,59.6,67.0,34.5,-32.0,-147.6,61.5,41.8,61.8,92.4,65.4,93.4,20.9
"15","Net exports of goods and services",0.4,0.3,0.0,0.0,0.1,0.3,-0.2,-0.1,0.1,1.0,0.8,1.5,1.0,-0.3,-2.2,-2.0,-0.8,7.2,10.8,5.5,5.2,0.7,2.5,1.2,-0.7,0.4,0.5,2.4,4.1,0.5,0.4,4.2,4.9,4.1,4.9,6.9,5.6,3.9,3.6,1.4,1.4,4.0,0.6,-3.4,4.1,-0.8,16.0,-1.6,-23.1,-25.4,-22.5,-13.1,-12.5,-20.0,-51.6,-102.7,-114.0,-131.9,-144.8,-109.4,-86.7,-77.9,-28.6,-34.7,-65.2,-92.5,-89.8,-96.4,-102.0,-162.7,-256.6,-375.8,-368.7,-426.5,-503.7,-619.2,-721.2,-770.9,-718.5,-723.1,-395.4,-512.7,-580.0,-565.7,-492.0,-508.8,-522.0,-501.3
"16","    Exports",5.9,4.4,2.9,2.0,2.0,2.6,2.8,3.0,4.0,3.8,4.0,4.9,5.5,4.4,4.0,4.9,6.8,14.2,18.7,15.5,14.5,12.4,17.1,16.5,15.3,15.8,17.7,21.3,24.0,20.6,22.7,27.0,27.6,29.1,31.1,35.0,37.1,40.9,43.5,47.9,51.9,59.7,63.0,70.8,95.3,126.7,138.7,149.5,159.4,186.9,230.1,280.8,305.2,283.2,277.0,302.4,303.2,321.0,363.9,444.6,504.3,551.9,594.9,633.1,654.8,720.9,812.8,867.6,953.8,953.0,992.0,1096.8,1026.7,1002.5,1040.3,1181.5,1308.9,1476.3,1664.6,1841.9,1587.7,1852.3,2106.4,2198.2,2276.6,2375.3,2264.3,2232.4
"17","        Goods",5.3,3.9,2.5,1.7,1.7,2.2,2.4,2.6,3.5,3.2,3.3,4.1,4.5,3.4,2.9,3.6,5.4,11.8,16.1,13.3,12.2,10.2,14.2,13.4,12.4,12.9,14.4,17.6,19.6,16.4,16.5,20.5,20.9,21.7,23.3,26.8,28.0,31.1,32.5,35.7,38.7,45.0,46.2,52.6,75.8,103.5,112.5,121.5,128.4,149.9,187.3,230.4,245.2,222.6,214.0,231.3,227.5,231.4,265.6,332.1,374.8,403.3,430.1,455.3,467.7,518.4,592.4,628.8,699.9,692.6,711.7,797.3,743.8,713.2,741.4,834.4,926.6,1049.6,1166.4,1298.8,1065.1,1279.6,1466.9,1526.0,1562.7,1618.1,1498.4,1454.9
"18","        Services",0.6,0.5,0.4,0.3,0.3,0.3,0.4,0.4,0.6,0.6,0.6,0.8,0.9,1.0,1.1,1.3,1.4,2.4,2.6,2.3,2.3,2.1,2.9,3.0,2.9,2.9,3.3,3.7,4.5,4.1,6.3,6.6,6.7,7.4,7.7,8.3,9.2,9.8,10.9,12.2,13.2,14.7,16.8,18.3,19.5,23.2,26.2,28.0,30.9,37.0,42.9,50.3,60.0,60.7,62.9,71.1,75.7,89.6,98.4,112.5,129.5,148.6,164.8,177.7,187.1,202.6,220.4,238.8,253.9,260.4,280.3,299.6,282.9,289.3,298.9,347.1,382.3,426.7,498.2,543.1,522.6,572.7,639.5,672.2,713.9,757.2,765.9,777.6
"19","    Imports",5.6,4.1,2.9,1.9,1.9,2.2,3.0,3.2,4.0,2.8,3.1,3.4,4.4,4.6,6.3,6.9,7.5,7.0,7.9,10.1,9.2,11.6,14.6,15.3,16.0,15.4,17.2,18.9,19.9,20.0,22.3,22.8,22.7,25.0,26.1,28.1,31.5,37.1,39.9,46.6,50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,452.9,508.7,554.0,591.0,629.7,623.5,667.8,720.0,813.4,902.6,964.0,1055.8,1115.7,1248.6,1472.6,1395.4,1429.0,1543.9,1800.7,2030.1,2247.3,2383.2,2565.0,1983.2,2365.0,2686.4,2763.8,2768.6,2884.1,2786.3,2733.7
"20","        Goods",4.5,3.1,2.1,1.3,1.5,1.8,2.5,2.5,3.2,2.2,2.4,2.7,3.4,2.7,3.4,3.8,3.9,5.1,6.0,7.6,6.9,9.1,11.2,10.8,11.0,10.4,11.5,12.8,13.3,13.0,15.3,15.2,15.1,16.9,17.7,19.4,22.2,26.3,27.8,33.9,36.8,40.9,46.6,56.9,71.8,104.5,99.0,124.6,152.6,177.4,212.8,248.6,267.8,250.5,272.7,336.3,343.3,370.0,414.8,452.1,484.8,508.1,500.7,544.9,592.8,676.8,757.4,807.4,885.7,930.8,1051.2,1251.5,1176.7,1199.3,1296.2,1511.6,1719.4,1899.7,2003.8,2149.4,1590.3,1949.8,2244.7,2305.8,2301.5,2396.5,2291.1,2225.6
"21","        Services",1.1,1.0,0.8,0.6,0.4,0.5,0.5,0.6,0.8,0.7,0.7,0.7,1.0,1.9,2.8,3.1,3.7,1.9,2.0,2.5,2.4,2.5,3.4,4.5,5.0,5.1,5.7,6.1,6.7,7.1,7.0,7.6,7.6,8.1,8.4,8.7,9.3,10.7,12.2,12.6,13.7,14.9,15.8,17.3,19.3,22.9,23.7,26.5,29.8,34.8,39.9,45.3,49.9,52.6,56.0,68.8,73.9,82.9,93.9,101.9,106.2,121.7,122.8,122.9,127.2,136.6,145.1,156.5,170.1,184.9,197.4,221.2,218.7,229.6,247.7,289.1,310.7,347.6,379.4,415.6,392.9,415.2,441.6,458.0,467.1,487.6,495.2,508.1
"22","Government consumption expenditures and gross investment",9.6,10.3,10.2,9.0,8.9,10.7,11.2,13.4,13.1,14.2,15.2,15.6,27.9,65.5,98.1,108.7,96.6,43.2,40.0,44.0,50.0,50.7,73.5,89.8,97.0,92.8,93.3,98.5,107.5,114.5,118.9,121.0,129.8,140.9,147.9,155.5,164.9,186.4,208.1,226.8,240.4,254.2,269.3,288.2,306.4,343.1,382.9,405.8,435.8,477.4,525.5,590.8,654.7,710.0,765.7,825.2,908.4,974.5,1030.8,1078.2,1151.9,1238.4,1298.2,1345.4,1366.1,1403.7,1452.2,1496.4,1554.2,1613.5,1726.0,1834.4,1958.8,2094.9,2220.8,2357.4,2493.7,2642.2,2801.9,3003.2,3089.1,3174.0,3168.7,3158.6,3116.1,3152.1,3218.3,3276.7
"23","    Federal",1.9,2.0,2.0,2.0,2.4,3.4,3.6,5.8,5.3,5.9,6.2,6.8,19.1,56.7,89.5,100.1,87.3,32.1,25.8,27.1,30.5,29.5,50.0,64.8,70.3,63.3,61.0,63.1,68.4,71.5,73.5,72.8,77.4,85.5,87.8,90.2,93.1,106.5,120.0,127.9,131.1,132.7,134.4,141.5,145.6,158.1,172.8,183.8,198.8,216.7,237.7,272.4,311.7,345.6,380.2,407.6,449.3,478.4,500.2,508.8,531.4,560.0,580.7,586.6,578.4,572.7,575.4,578.2,582.4,584.1,610.4,632.4,669.2,740.6,824.8,892.4,946.3,1002.0,1049.8,1155.6,1217.7,1303.9,1303.5,1292.5,1229.5,1218.9,1225.0,1244.5
"24","        National defense",1.0,1.1,1.1,1.0,1.0,0.9,1.2,1.4,1.4,1.5,1.7,2.8,15.4,53.5,86.8,97.3,84.9,28.1,21.2,21.0,22.4,22.7,43.7,57.4,61.2,54.5,52.4,55.0,60.0,62.2,60.9,60.9,64.5,69.7,70.0,69.7,70.6,82.5,95.0,101.4,102.1,100.7,98.0,100.6,102.0,109.2,117.0,123.8,132.8,143.0,157.8,181.0,211.2,242.8,269.3,294.7,326.0,349.2,369.9,379.6,388.6,402.8,412.0,404.7,390.1,380.3,376.0,376.5,371.4,367.7,382.7,391.7,412.7,456.8,519.9,570.2,608.3,642.4,678.7,754.1,788.3,832.8,836.9,817.8,767.0,746.0,732.0,732.2
"25","        Nondefense",0.8,0.9,1.0,1.0,1.5,2.5,2.4,4.4,3.8,4.4,4.6,4.0,3.7,3.2,2.7,2.8,2.4,4.0,4.6,6.1,8.1,6.8,6.2,7.4,9.1,8.8,8.6,8.1,8.5,9.3,12.6,11.9,12.8,15.8,17.8,20.5,22.6,24.1,24.9,26.6,29.1,32.0,36.4,40.9,43.5,48.9,55.8,60.0,66.0,73.7,79.9,91.4,100.5,102.8,110.8,113.0,123.3,129.2,130.3,129.2,142.7,157.3,168.8,181.9,188.3,192.4,199.3,201.7,211.0,216.4,227.7,240.7,256.5,283.8,304.9,322.1,338.1,359.6,371.0,401.5,429.4,471.1,466.5,474.7,462.5,472.9,493.0,512.3
"26","    State and local",7.7,8.3,8.1,7.0,6.5,7.3,7.6,7.7,7.9,8.3,9.0,8.8,8.8,8.8,8.6,8.6,9.3,11.1,14.2,16.9,19.6,21.3,23.6,25.0,26.7,29.5,32.2,35.4,39.1,43.0,45.3,48.2,52.5,55.4,60.0,65.3,71.7,79.8,88.1,98.8,109.3,121.4,134.9,146.7,160.8,185.0,210.2,222.1,237.0,260.7,287.8,318.5,343.0,364.4,385.6,417.5,459.2,496.1,530.5,569.3,620.5,678.3,717.4,758.8,787.7,831.1,876.8,918.2,971.8,1029.4,1115.6,1202.0,1289.5,1354.3,1396.0,1465.0,1547.4,1640.2,1752.2,1847.6,1871.4,1870.2,1865.3,1866.1,1886.6,1933.2,1993.3,2032.2
